 VCS Coverage Metrics Release U-2023.03_Full64 Copyright (c) 1991-2023 by Synopsys Inc.
[PASS] seq=idle_no_branch_no_jal          cyc=0 op=BK_IDLE            pc=0x00000000 branch=0 jal=0 -> taken=0 valid=0 tgt=0x00000000
[PASS] seq=backward_branch_typical        cyc=0 op=BK_BACKWARD_BRANCH pc=0x00000100 branch=1 jal=0 -> taken=1 valid=1 tgt=0x000000f8
[PASS] seq=backward_branch_max_offset     cyc=0 op=BK_BACKWARD_BRANCH pc=0x00001000 branch=1 jal=0 -> taken=1 valid=1 tgt=0x00000000
[PASS] seq=forward_branch_typical         cyc=0 op=BK_FORWARD_BRANCH  pc=0x00000100 branch=1 jal=0 -> taken=0 valid=0 tgt=0x00000110
[PASS] seq=forward_branch_max_offset      cyc=0 op=BK_FORWARD_BRANCH  pc=0x00000100 branch=1 jal=0 -> taken=0 valid=0 tgt=0x000010fe
[PASS] seq=jal_positive_offset            cyc=0 op=BK_JAL             pc=0x00000200 branch=0 jal=1 -> taken=0 valid=1 tgt=0x00000600
[PASS] seq=jal_negative_offset            cyc=0 op=BK_JAL             pc=0x00000200 branch=0 jal=1 -> taken=0 valid=1 tgt=0xfffffe00
[PASS] seq=jal_zero_offset_self_jump      cyc=0 op=BK_JAL             pc=0x00000200 branch=0 jal=1 -> taken=0 valid=1 tgt=0x00000200
[PASS] seq=jal_and_backward_branch        cyc=0 op=BK_JAL_AND_BRANCH  pc=0x00000300 branch=1 jal=1 -> taken=1 valid=1 tgt=0x00000b00
[PASS] seq=jal_and_forward_branch         cyc=0 op=BK_JAL_AND_BRANCH  pc=0x00000300 branch=1 jal=1 -> taken=0 valid=1 tgt=0x00000b00
[PASS] seq=branch_target_wraparound       cyc=0 op=BK_WRAPAROUND      pc=0xfffffffc branch=1 jal=0 -> taken=0 valid=0 tgt=0x00000004
