
 VCS Coverage Metrics Release U-2023.03_Full64 Copyright (c) 1991-2023 by Synopsys Inc.
[PASS] seq=FINDING_post_reset_unwritten_reads_x   cyc=0 op=RK_NO_WRITE_READ rs1=7 rs2=19 wb_write=0 wb_rd=0 wb_data=0x00000000 -> rs1_data=0x00000000 rs2_data=0x00000000
[PASS] seq=x0_hardwired_zero                      cyc=0 op=RK_X0_ACCESS     rs1=0 rs2=0 wb_write=1 wb_rd=0 wb_data=0xffffffff -> rs1_data=0x00000000 rs2_data=0x00000000
[PASS] seq=x0_hardwired_zero                      cyc=1 op=RK_NO_WRITE_READ rs1=0 rs2=0 wb_write=0 wb_rd=0 wb_data=0x00000000 -> rs1_data=0x00000000 rs2_data=0x00000000
[PASS] seq=write_then_read_no_bypass              cyc=0 op=RK_PLAIN_WRITE   rs1=12 rs2=13 wb_write=1 wb_rd=5 wb_data=0xcafef00d -> rs1_data=0x00000000 rs2_data=0x00000000
[PASS] seq=write_then_read_no_bypass              cyc=1 op=RK_NO_WRITE_READ rs1=5 rs2=5 wb_write=0 wb_rd=0 wb_data=0x00000000 -> rs1_data=0xcafef00d rs2_data=0xcafef00d
[PASS] seq=bypass_matrix                          cyc=0 op=RK_BYPASS_RS1    rs1=9 rs2=20 wb_write=1 wb_rd=9 wb_data=0xaaaabbbb -> rs1_data=0xaaaabbbb rs2_data=0x00000000
[PASS] seq=bypass_matrix                          cyc=1 op=RK_BYPASS_RS2    rs1=20 rs2=9 wb_write=1 wb_rd=9 wb_data=0xaaaabbbb -> rs1_data=0x00000000 rs2_data=0xaaaabbbb
[PASS] seq=bypass_matrix                          cyc=2 op=RK_BYPASS_BOTH   rs1=9 rs2=9 wb_write=1 wb_rd=9 wb_data=0xaaaabbbb -> rs1_data=0xaaaabbbb rs2_data=0xaaaabbbb
[PASS] seq=bypass_matrix                          cyc=3 op=RK_NO_WRITE_READ rs1=9 rs2=9 wb_write=0 wb_rd=0 wb_data=0x00000000 -> rs1_data=0xaaaabbbb rs2_data=0xaaaabbbb
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=0 op=RK_RANDOM        rs1=0 rs2=0 wb_write=1 wb_rd=0 wb_data=0xe0000000 -> rs1_data=0x00000000 rs2_data=0x00000000
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=1 op=RK_NO_WRITE_READ rs1=0 rs2=0 wb_write=0 wb_rd=0 wb_data=0x00000000 -> rs1_data=0x00000000 rs2_data=0x00000000
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=2 op=RK_RANDOM        rs1=1 rs2=1 wb_write=1 wb_rd=1 wb_data=0xe0000001 -> rs1_data=0xe0000001 rs2_data=0xe0000001
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=3 op=RK_NO_WRITE_READ rs1=1 rs2=1 wb_write=0 wb_rd=0 wb_data=0x00000000 -> rs1_data=0xe0000001 rs2_data=0xe0000001
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=4 op=RK_RANDOM        rs1=2 rs2=2 wb_write=1 wb_rd=2 wb_data=0xe0000002 -> rs1_data=0xe0000002 rs2_data=0xe0000002
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=5 op=RK_NO_WRITE_READ rs1=2 rs2=2 wb_write=0 wb_rd=0 wb_data=0x00000000 -> rs1_data=0xe0000002 rs2_data=0xe0000002
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=6 op=RK_RANDOM        rs1=3 rs2=3 wb_write=1 wb_rd=3 wb_data=0xe0000003 -> rs1_data=0xe0000003 rs2_data=0xe0000003
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=7 op=RK_NO_WRITE_READ rs1=3 rs2=3 wb_write=0 wb_rd=0 wb_data=0x00000000 -> rs1_data=0xe0000003 rs2_data=0xe0000003
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=8 op=RK_RANDOM        rs1=4 rs2=4 wb_write=1 wb_rd=4 wb_data=0xe0000004 -> rs1_data=0xe0000004 rs2_data=0xe0000004
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=9 op=RK_NO_WRITE_READ rs1=4 rs2=4 wb_write=0 wb_rd=0 wb_data=0x00000000 -> rs1_data=0xe0000004 rs2_data=0xe0000004
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=10 op=RK_RANDOM        rs1=5 rs2=5 wb_write=1 wb_rd=5 wb_data=0xe0000005 -> rs1_data=0xe0000005 rs2_data=0xe0000005
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=11 op=RK_NO_WRITE_READ rs1=5 rs2=5 wb_write=0 wb_rd=0 wb_data=0x00000000 -> rs1_data=0xe0000005 rs2_data=0xe0000005
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=12 op=RK_RANDOM        rs1=6 rs2=6 wb_write=1 wb_rd=6 wb_data=0xe0000006 -> rs1_data=0xe0000006 rs2_data=0xe0000006
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=13 op=RK_NO_WRITE_READ rs1=6 rs2=6 wb_write=0 wb_rd=0 wb_data=0x00000000 -> rs1_data=0xe0000006 rs2_data=0xe0000006
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=14 op=RK_RANDOM        rs1=7 rs2=7 wb_write=1 wb_rd=7 wb_data=0xe0000007 -> rs1_data=0xe0000007 rs2_data=0xe0000007
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=15 op=RK_NO_WRITE_READ rs1=7 rs2=7 wb_write=0 wb_rd=0 wb_data=0x00000000 -> rs1_data=0xe0000007 rs2_data=0xe0000007
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=16 op=RK_RANDOM        rs1=8 rs2=8 wb_write=1 wb_rd=8 wb_data=0xe0000008 -> rs1_data=0xe0000008 rs2_data=0xe0000008
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=17 op=RK_NO_WRITE_READ rs1=8 rs2=8 wb_write=0 wb_rd=0 wb_data=0x00000000 -> rs1_data=0xe0000008 rs2_data=0xe0000008
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=18 op=RK_RANDOM        rs1=9 rs2=9 wb_write=1 wb_rd=9 wb_data=0xe0000009 -> rs1_data=0xe0000009 rs2_data=0xe0000009
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=19 op=RK_NO_WRITE_READ rs1=9 rs2=9 wb_write=0 wb_rd=0 wb_data=0x00000000 -> rs1_data=0xe0000009 rs2_data=0xe0000009
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=20 op=RK_RANDOM        rs1=10 rs2=10 wb_write=1 wb_rd=10 wb_data=0xe000000a -> rs1_data=0xe000000a rs2_data=0xe000000a
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=21 op=RK_NO_WRITE_READ rs1=10 rs2=10 wb_write=0 wb_rd=0 wb_data=0x00000000 -> rs1_data=0xe000000a rs2_data=0xe000000a
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=22 op=RK_RANDOM        rs1=11 rs2=11 wb_write=1 wb_rd=11 wb_data=0xe000000b -> rs1_data=0xe000000b rs2_data=0xe000000b
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=23 op=RK_NO_WRITE_READ rs1=11 rs2=11 wb_write=0 wb_rd=0 wb_data=0x00000000 -> rs1_data=0xe000000b rs2_data=0xe000000b
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=24 op=RK_RANDOM        rs1=12 rs2=12 wb_write=1 wb_rd=12 wb_data=0xe000000c -> rs1_data=0xe000000c rs2_data=0xe000000c
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=25 op=RK_NO_WRITE_READ rs1=12 rs2=12 wb_write=0 wb_rd=0 wb_data=0x00000000 -> rs1_data=0xe000000c rs2_data=0xe000000c
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=26 op=RK_RANDOM        rs1=13 rs2=13 wb_write=1 wb_rd=13 wb_data=0xe000000d -> rs1_data=0xe000000d rs2_data=0xe000000d
[PASS] seq=exh_reg_sweep_bypass_and_readback      cyc=27 op=RK_NO_WRITE_READ rs1=13 rs2=13 wb_write=0 wb_rd=0 wb_data=0x00000000 -> rs1_data=0xe000000d rs2_data=0xe000000d
